"GENDER","SCHOOL","MAXLOGIN","ISTEACHER","DAYREAD","ARTNUM","ISPAY","IS15VIP","ISPASS","EXERATE","READRATE","EXTENDRATE","TRANSRATE"
"男","未知",141,"否",1,1,"否","是","否",0,1,0,0
"女","未知",123,"否",1,1,"否","是","否",1,0,1,0
"男","未知",165,"否",1,1,"否","否","否",1,0,1,0
"男","未知",167,"否",1,1,"否","否","否",1,0,0,0
"女","未知",138,"否",1,1,"否","是","否",0,0,0,0
"女","未知",126,"否",1,1,"否","是","否",0,0,1,1
"女","未知",148,"否",1,1,"否","否","否",1,0,1,0
"女","未知",125,"否",1,1,"否","否","否",1,0,1,0
"女","本科",111,"否",1,1,"否","否","否",1,0,1,0
"男","未知",124,"否",1,1,"否","是","否",0,0,0,0
"女","未知",123,"否",1,1,"否","否","否",1,0,1,1
"未知","未知",121,"否",1,1,"否","否","否",0,0,0,0
"女","未知",124,"否",1,1,"否","否","否",1,0,1,0
"女","本科",143,"否",1,1,"否","否","否",1,0,1,1
"未知","211",151,"是",1,1,"否","否","否",1,0,1,0
"男","未知",147,"否",1,1,"否","是","否",0,0,0,1
"女","未知",119,"否",1,1,"否","否","否",1,1,0,0
"未知","本科",103,"否",1,1,"否","否","否",0,0,0,0
"女","未知",142,"是",1,1,"否","否","否",1,1,1,1
"男","未知",116,"否",1,1,"否","是","否",1,0,0,0
"未知","未知",152,"否",1,1,"否","否","否",1,1,1,1
"男","未知",119,"否",1,1,"否","否","否",0,0,1,0
"女","未知",121,"否",1,1,"否","是","否",1,0,1,0
"未知","未知",149,"否",1,1,"否","是","否",1,0,1,0
"未知","未知",142,"否",1,1,"否","否","否",1,0,0,0
"女","未知",117,"否",1,1,"否","是","否",1,0,1,0
"未知","未知",148,"否",1,1,"否","是","否",1,0,1,1
"未知","未知",109,"否",1,1,"否","是","否",0,0,0,0
"女","未知",129,"否",1,1,"否","否","否",1,0,1,0
"未知","未知",100,"否",1,1,"否","否","否",0,0,0,0
"未知","未知",135,"否",1,1,"否","否","否",0,0,0,0
"女","未知",111,"否",1,1,"否","否","否",1,0,1,0
"男","未知",111,"否",1,1,"否","是","否",1,1,0,0
"女","未知",106,"否",1,1,"否","是","否",1,1,1,0
"女","未知",139,"否",1,1,"否","否","否",1,0,0,0
"女","未知",89,"否",1,1,"否","否","否",1,0,1,0
"女","未知",105,"否",1,1,"否","是","否",1,0,1,1
"男","未知",137,"否",1,1,"否","否","否",0,0,0,0
"女","未知",107,"否",1,1,"否","否","否",0,0,1,0
"未知","未知",95,"否",1,1,"否","否","否",0,0,1,0
"男","未知",98,"否",1,1,"否","否","否",1,0,1,0
